"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Chittoor","2019-04-04","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-05","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-06","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-07","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-08","2019","04","1.912078676","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-09","2019","04","1.746338283","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-10","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-11","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-12","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-13","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-14","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-15","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-16","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-17","2019","04","6.384777753","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-18","2019","04","5.966302824","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-19","2019","04","1.624069013","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-20","2019","04","1.615966833","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-21","2019","04","0.135146128","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-22","2019","04","4.393491729","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-23","2019","04","4.606250319","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-24","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-25","2019","04","0.002024048","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-26","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-27","2019","04","0.195490306","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-28","2019","04","0.76743359","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-29","2019","04","0.997264845","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2019-04-30","2019","04","2.887368428","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-01","2019","04","0.094345497","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-02","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-03","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-04","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-05","2019","04","0.094202515","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-06","2019","04","1.827347671","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-07","2019","04","0.034170455","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-08","2019","04","0.00789352","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-09","2019","04","0.193241456","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-10","2019","04","1.334930904","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-11","2019","04","0.493419912","NRSC VIC MODEL"
